Date,Open,High,Low,Volume,Close,Open,High,Low,Volume,Close
09/04/2023,27952.37,28532.83,27828.48,28333.05,12175322951,0.24911546,0.253413512,0.253469596,3.57E-08,0.081593679
10/04/2023,28336.03,29771.46,28189.27,29652.98,19282400094,0.252556468,0.264496612,0.256776151,3.95E-08,0.129222197
11/04/2023,29653.68,30509.08,29609.3,30235.06,20121259843,0.26437434,0.27109674,0.26979039,4.12E-08,0.134843867
12/04/2023,30231.58,30462.48,29725.57,30139.05,18651929926,0.269557468,0.270679769,0.270855977,4.09E-08,0.124997062
13/04/2023,29892.74,30539.85,29878.62,30399.07,17487721001,0.266518445,0.271372066,0.272258644,4.16E-08,0.117195044
14/04/2023,30409.56,31005.61,30044.5,30485.7,22659995079,0.271153753,0.275539626,0.273778895,4.19E-08,0.151857359
15/04/2023,30490.75,30601.74,30245.88,30318.5,11940685378,0.271881938,0.27192585,0.275624495,4.14E-08,0.080021241
16/04/2023,30315.98,30555.54,30157.83,30315.36,12854816417,0.270314443,0.271512458,0.274817538,4.14E-08,0.086147347
17/04/2023,30317.15,30319.2,29275.37,29445.04,17872186762,0.270324937,0.269397719,0.266730001,3.89E-08,0.119771565
18/04/2023,29449.09,30470.3,29154.85,30397.55,19480529496,0.262539393,0.270749742,0.265625463,4.16E-08,0.130549973
19/04/2023,30394.19,30411.05,28669.9,28822.68,24571565421,0.271015901,0.27021958,0.261181011,3.71E-08,0.164667866
20/04/2023,28823.68,29076.4,28037.26,28245.99,21340360360,0.256930152,0.258277306,0.255383015,3.55E-08,0.143013745
21/04/2023,28249.23,28349.97,27177.37,27276.91,20759504330,0.251777967,0.251777304,0.247502326,3.27E-08,0.139121102
22/04/2023,27265.89,27872.14,27169.57,27817.5,13125734602,0.242958489,0.247501744,0.247430841,3.43E-08,0.087962922
23/04/2023,27816.14,27820.24,27400.31,27591.38,12785446832,0.247893626,0.247037349,0.249545519,3.36E-08,0.085682462
24/04/2023,27591.73,27979.98,27070.85,27525.34,17703288330,0.245880915,0.248466682,0.246526096,3.34E-08,0.118639681
25/04/2023,27514.87,28371.08,27207.93,28307.6,17733373139,0.245191565,0.251966194,0.247782401,3.57E-08,0.118841297
26/04/2023,28300.06,29995.84,27324.55,28422.7,31854242019,0.252233857,0.266504335,0.248851196,3.60E-08,0.213473174
27/04/2023,28428.46,29871.55,28402.89,29473.79,27153445027,0.253385463,0.265392205,0.258733928,3.90E-08,0.181970492
28/04/2023,29481.01,29572.79,28929.61,29340.26,17544464887,0.26282568,0.262718939,0.263561192,3.86E-08,0.117575316
29/04/2023,29336.57,29452.46,29088.04,29248.49,10662634333,0.261530212,0.261642242,0.265013165,3.84E-08,0.071456303
30/04/2023,29245.52,29952.03,29114.02,29268.81,14652199272,0.260713593,0.266112329,0.265251266,3.84E-08,0.098192619
01/05/2023,29227.1,29329.94,27680.79,28091.57,18655599976,0.260548386,0.260545949,0.252116052,3.51E-08,0.125021657
02/05/2023,28087.18,28881.3,27924.12,28680.54,16432924527,0.250324557,0.256531576,0.254346114,3.67E-08,0.11012626
03/05/2023,28680.49,29259.53,28178.39,29006.31,19122972518,0.255645896,0.259915929,0.256676438,3.77E-08,0.128153783
04/05/2023,29031.3,29353.19,28694.04,28847.71,15548678514,0.258792276,0.260753987,0.261402248,3.72E-08,0.10420043
05/05/2023,28851.48,29668.91,28845.51,29534.38,17936566518,0.257179488,0.263579008,0.262790435,3.92E-08,0.12020301
06/05/2023,29538.86,29820.13,28468.97,28904.62,15913866714,0.263344531,0.264932105,0.259339535,3.74E-08,0.106647762
07/05/2023,28901.62,29157.52,28441.37,28454.98,11301355486,0.257629189,0.259003157,0.259086588,3.61E-08,0.075736732
08/05/2023,28450.46,28663.27,27310.13,27694.27,19122903752,0.253582779,0.254580672,0.24871904,3.39E-08,0.128153322
09/05/2023,27695.07,27821.4,27375.6,27658.78,14128593256,0.246807761,0.247047729,0.249319057,3.38E-08,0.094683641
10/05/2023,27654.64,28322.69,26883.67,27621.76,20656025026,0.246445149,0.251533207,0.244810635,3.37E-08,0.138427629
11/05/2023,27621.09,27621.94,26781.83,27000.79,16724343943,0.246144242,0.245262987,0.243877296,3.19E-08,0.112079225
12/05/2023,26987.66,27055.65,25878.43,26804.99,19313599897,0.240463071,0.240195897,0.235597848,3.14E-08,0.129431284
13/05/2023,26807.77,27030.48,26710.87,26784.08,9999171605,0.238849656,0.23997068,0.243226964,3.13E-08,0.067010066
